Class Code,Class Title,Class Description,Credit Hours,Class Instructors,Academic Career
APPM 2361,Differential Equations Work Group,"Provides problem solving assistance to students enrolled in <a href=""/search/?p=APPM%202360"" data-action=""result-detail"" data-group=""code:APPM 2360"" >APPM 2360</a>. Conducted in a collaborative learning environment. Student work in groups solve ordinary differential equations and linear algebra problems with the assistance of a facilitator.",1,,UGRD
APPM 3350,Advanced Engineering Calculus,"Extends the treatment of engineering mathematics beyond the topics covered in Calculus 3 and differential equations. Topics include non-dimensionalization, elementary asymptotics and perturbation theory, Reynold's transport theorem and extensions of Leibnitz's rule, as applied to continuum conservation equations, Hamiltonian formulations, Legendre and Laplace transforms, special functions and their orthogonality properties.",3,J. Norris,UGRD
APPM 2351,Calculus 3 Work Group,"Provides problem solving assistance to students enrolled in <a href=""/search/?p=APPM%202350"" data-action=""result-detail"" data-group=""code:APPM 2350"" >APPM 2350</a>. Conducted in a collaborative learning environment. Student work groups solve calculus problems with the assistance of a facilitator.",1,,UGRD
APPM 2350,Calculus 3 for Engineers,"Covers multivariable calculus, vector analysis, and theorems of Gauss, Green, and Stokes. Degree credit not granted for this course and <a href=""/search/?p=MATH%202400"" data-action=""result-detail"" data-group=""code:MATH 2400"" >MATH 2400</a>.",Varies by section,E. Thaler,UGRD
APPM 2360,Introduction to Differential Equations with Linear Algebra,"Introduces ordinary differential equations, systems of linear equations, matrices, determinants, vector spaces, linear transformations, and systems of linear differential equations. Credit not granted for this course and both <a href=""/search/?p=MATH%202130"" data-action=""result-detail"" data-group=""code:MATH 2130"" >MATH 2130</a> and <a href=""/search/?p=MATH%203430"" data-action=""result-detail"" data-group=""code:MATH 3430"" >MATH 3430</a>.",Varies by section,E. Thaler,UGRD
APPM 4560,"Markov Processes, Queues, and Monte Carlo Simulations","Brief review of conditional probability and expectation followed by a study of Markov chains, both discrete and continuous time, including Poisson point processes. Queuing theory, terminology and single queue systems are studied with some introduction to networks of queues. Uses Monte Carlo simulation of random variables throughout the semester to gain insight into the processes under study. Same as <a href=""/search/?p=APPM%205560"" data-action=""result-detail"" data-group=""code:APPM 5560"" >APPM 5560</a> and <a href=""/search/?p=STAT%204100"" data-action=""result-detail"" data-group=""code:STAT 4100"" >STAT 4100</a>.",3,,UGRD
APPM 4720,Varies by section,"Provides a vehicle for the development and presentation of new topics that may be incorporated into the core courses in applied mathematics. Department enforced prerequisite: variable, depending on the topic, see instructor. May be repeated up to 15 total credit hours. Same as <a href=""/search/?p=APPM%205720"" data-action=""result-detail"" data-group=""code:APPM 5720"" >APPM 5720</a>.",3,"S. Becker, M. Lladser, J. Curry",UGRD
APPM 4380,Modeling in Applied Mathematics,"An exposition of a variety of mathematical models arising in the physical and biological sciences. Students' modeling projects are presented in class. Topics may include: GPS navigation, medical imaging, ocean waves, and computerized facial recognition. Recommended prerequisites: <a href=""/search/?p=APPM%203310"" data-action=""result-detail"" data-group=""code:APPM 3310"" >APPM 3310</a> and <a href=""/search/?p=APPM%204350"" data-action=""result-detail"" data-group=""code:APPM 4350"" >APPM 4350</a> and <a href=""/search/?p=APPM%204650"" data-action=""result-detail"" data-group=""code:APPM 4650""  class=""notoffered"">APPM 4650</a>. Same as <a href=""/search/?p=APPM%205380"" data-action=""result-detail"" data-group=""code:APPM 5380"" >APPM 5380</a>.",3,J. Norris,UGRD
APPM 5470,Methods of Applied Mathematics: Partial Differential and Integral Equations,"Studies properties and solutions of partial differential equations. Covers methods of characteristics, well-posedness, wave, heat and Laplace equations, Green's functions and related integral equations. Department enforced prerequisites: <a href=""/search/?p=APPM%204350"" data-action=""result-detail"" data-group=""code:APPM 4350"" >APPM 4350</a> or <a href=""/search/?p=MATH%204470"" data-action=""result-detail"" data-group=""code:MATH 4470"" >MATH 4470</a> and <a href=""/search/?p=APPM%204360"" data-action=""result-detail"" data-group=""code:APPM 4360""  class=""notoffered"">APPM 4360</a> or <a href=""/search/?p=MATH%203450"" data-action=""result-detail"" data-group=""code:MATH 3450""  class=""notoffered"">MATH 3450</a>.",3,K. Julien,GRAD
APPM 5350,Methods in Applied Mathematics: Fourier Series and Boundary Value Problems,"Department enforced prerequsite courses: <a href=""/search/?p=APPM%202350"" data-action=""result-detail"" data-group=""code:APPM 2350"" >APPM 2350</a> or <a href=""/search/?p=MATH%202400"" data-action=""result-detail"" data-group=""code:MATH 2400"" >MATH 2400</a> and <a href=""/search/?p=APPM%202360"" data-action=""result-detail"" data-group=""code:APPM 2360"" >APPM 2360</a> and a prerequisite or corequisite course: <a href=""/search/?p=APPM%203310"" data-action=""result-detail"" data-group=""code:APPM 3310"" >APPM 3310</a> or <a href=""/search/?p=MATH%202130"" data-action=""result-detail"" data-group=""code:MATH 2130"" >MATH 2130</a> or <a href=""/search/?p=MATH%202135"" data-action=""result-detail"" data-group=""code:MATH 2135"" >MATH 2135</a>. Same as <a href=""/search/?p=APPM%204350"" data-action=""result-detail"" data-group=""code:APPM 4350"" >APPM 4350</a>.",3,,GRAD
APPM 5370,Computational Neuroscience,"Applies mathematical and computational methods to neuroscience. Techniques from linear algebra, differential equations, introductory dynamical systems, probability, stochastic processes, model validation, and machine learning will be learned and used. Neuroscience topics include neural spiking, network dynamics, probabilistic inference, learning, and plasticity. Will learn how the brain uses computational principles to enact decision making, vision, and memory. Recommended background includes linear algebra, differential equations, probability, and programming. Students will hone programming skills in MATLAB/Python and TensorFlow. Recommended prerequisites: <a href=""/search/?p=APPM%202360"" data-action=""result-detail"" data-group=""code:APPM 2360"" >APPM 2360</a> and <a href=""/search/?p=APPM%203310"" data-action=""result-detail"" data-group=""code:APPM 3310"" >APPM 3310</a> and <a href=""/search/?p=STAT%204000"" data-action=""result-detail"" data-group=""code:STAT 4000"" >STAT 4000</a> or equivalent courses. Same as <a href=""/search/?p=APPM%204370"" data-action=""result-detail"" data-group=""code:APPM 4370"" >APPM 4370</a>.",3,Z. Kilpatrick,GRAD
APPM 4515,High-Dimensional Probability for Data Science,"Provides students with an exposition of the most recent methods of high-dimensional probability for the analysis of high dimensional datasets. Applications include randomized algorithms and high-dimensional random models of datasets. Same as <a href=""/search/?p=APPM%205515"" data-action=""result-detail"" data-group=""code:APPM 5515"" >APPM 5515</a>.",3,F. Meyer,UGRD
APPM 5380,Modeling in Applied Mathematics,"An exposition of a variety of mathematical models arising in the physical and biological sciences. Students' modeling projects are presented in class. Topics may include: GPS navigation, medical imaging, ocean waves, and computerized facial recognition. Department enforced prerequisites: <a href=""/search/?p=APPM%202350"" data-action=""result-detail"" data-group=""code:APPM 2350"" >APPM 2350</a> or <a href=""/search/?p=MATH%202400"" data-action=""result-detail"" data-group=""code:MATH 2400"" >MATH 2400</a> and <a href=""/search/?p=APPM%202360"" data-action=""result-detail"" data-group=""code:APPM 2360"" >APPM 2360</a>. Recommended prerequisites: <a href=""/search/?p=APPM%203310"" data-action=""result-detail"" data-group=""code:APPM 3310"" >APPM 3310</a> and <a href=""/search/?p=APPM%204350"" data-action=""result-detail"" data-group=""code:APPM 4350"" >APPM 4350</a> and <a href=""/search/?p=APPM%204650"" data-action=""result-detail"" data-group=""code:APPM 4650""  class=""notoffered"">APPM 4650</a>. Same as <a href=""/search/?p=APPM%204380"" data-action=""result-detail"" data-group=""code:APPM 4380"" >APPM 4380</a>.",3,J. Norris,GRAD
